Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1995-07-26,561.6099853515625,563.780029296875,560.8499755859375,561.0999755859375,393470000
1995-07-27,565.219970703125,565.3300170898438,561.6099853515625,561.6099853515625,356570000
1995-07-28,562.9299926757812,565.4000244140625,562.0399780273438,565.219970703125,311590000
1995-07-31,562.0599975585938,563.489990234375,560.0599975585938,562.9299926757812,291950000
1995-08-01,559.6400146484375,562.1099853515625,556.6699829101562,562.0599975585938,332210000
1995-08-02,558.7999877929688,565.6199951171875,557.8699951171875,559.6400146484375,374330000
1995-08-03,558.75,558.7999877929688,554.0999755859375,558.7999877929688,353110000
1995-08-04,558.9400024414062,559.5700073242188,557.9099731445312,558.75,314740000
1995-08-07,560.030029296875,561.239990234375,558.9400024414062,558.9400024414062,277050000
1995-08-08,560.3900146484375,561.530029296875,558.3200073242188,560.030029296875,306090000
1995-08-09,559.7100219726562,561.5900268554688,559.2899780273438,560.3900146484375,303390000
1995-08-10,557.4500122070312,560.6300048828125,556.0499877929688,559.7100219726562,306660000
1995-08-11,555.1099853515625,558.5,553.0399780273438,557.4500122070312,267850000
1995-08-14,559.739990234375,559.739990234375,554.760009765625,555.1099853515625,264920000
1995-08-15,558.5700073242188,559.97998046875,555.219970703125,559.739990234375,330070000
1995-08-16,559.969970703125,559.97998046875,557.3699951171875,558.5700073242188,390170000
1995-08-17,559.0399780273438,559.969970703125,557.4199829101562,559.969970703125,354460000
1995-08-18,559.2100219726562,561.239990234375,558.3400268554688,559.0399780273438,320490000
1995-08-21,558.1099853515625,563.3400268554688,557.8900146484375,559.2100219726562,303200000
1995-08-22,559.52001953125,559.52001953125,555.8699951171875,558.1099853515625,290890000
1995-08-23,557.1400146484375,560.0,557.0800170898438,559.52001953125,291890000
1995-08-24,557.4600219726562,558.6300048828125,555.2000122070312,557.1400146484375,299200000
1995-08-25,560.0999755859375,561.3099975585938,557.4600219726562,557.4600219726562,255990000
1995-08-28,559.0499877929688,562.219970703125,557.989990234375,560.0999755859375,267860000
1995-08-29,560.0,560.010009765625,555.7100219726562,559.0499877929688,311290000
1995-08-30,560.9199829101562,561.52001953125,559.489990234375,560.0,329840000
1995-08-31,561.8800048828125,562.3599853515625,560.489990234375,561.0900268554688,300920000
1995-09-01,563.8400268554688,564.6199951171875,561.010009765625,561.8800048828125,256730000
1995-09-05,569.1699829101562,569.2000122070312,563.8400268554688,563.8599853515625,332670000
1995-09-06,570.1699829101562,570.530029296875,569.0,569.1699829101562,369540000
1995-09-07,570.2899780273438,571.1099853515625,569.22998046875,570.1699829101562,321720000
1995-09-08,572.6799926757812,572.6799926757812,569.27001953125,570.2899780273438,317940000
1995-09-11,573.9099731445312,575.1500244140625,572.6799926757812,572.6799926757812,296840000
1995-09-12,576.510009765625,576.510009765625,573.1099853515625,573.9099731445312,344540000
1995-09-13,578.77001953125,579.719970703125,575.469970703125,576.510009765625,384380000
1995-09-14,583.6099853515625,583.989990234375,578.77001953125,578.77001953125,382880000
1995-09-15,583.3499755859375,585.0700073242188,581.7899780273438,583.6099853515625,459370000
1995-09-18,582.77001953125,583.3699951171875,579.3599853515625,583.3499755859375,326090000
1995-09-19,584.2000122070312,584.239990234375,580.75,582.780029296875,371170000
1995-09-20,586.77001953125,586.77001953125,584.1799926757812,584.2000122070312,400050000
1995-09-21,583.0,586.7899780273438,580.9099731445312,586.77001953125,367100000
1995-09-22,581.72998046875,583.0,578.25,583.0,370790000
1995-09-25,581.8099975585938,582.1400146484375,579.5,581.72998046875,273120000
1995-09-26,581.4099731445312,584.6599731445312,580.6500244140625,581.8099975585938,363630000
1995-09-27,581.0399780273438,581.4199829101562,574.6799926757812,581.4099731445312,411300000
1995-09-28,585.8699951171875,585.8800048828125,580.6900024414062,581.0399780273438,367720000
1995-09-29,584.4099731445312,587.6099853515625,584.0,585.8699951171875,335250000
1995-10-02,581.719970703125,585.0499877929688,580.5399780273438,584.4099731445312,304990000
